TIMESTAMP,TARGETVAR,U10,V10,U100,V100
2012-01-01 00:00:00,0.000000,2.124600,-2.681966,2.864280,-3.666076
2012-01-01 01:00:00,0.054879,2.521695,-1.796960,3.344859,-2.464761
2012-01-01 02:00:00,0.110234,2.672210,-0.822516,3.508448,-1.214093
2012-01-01 03:00:00,0.165116,2.457504,-0.143642,3.215233,-0.355546
2012-01-01 04:00:00,0.156940,2.245898,0.389576,2.957678,0.332701
2012-01-01 05:00:00,0.168781,1.986038,0.796304,2.655406,0.882648
2012-01-01 06:00:00,0.114745,1.319787,1.440681,1.946708,1.941323
2012-01-01 07:00:00,0.085424,-0.122061,2.358907,-0.235427,4.323885
2012-01-01 08:00:00,0.153181,-1.380191,2.903624,-3.048145,6.041520
2012-01-01 09:00:00,0.139273,-1.710881,2.013933,-4.213648,4.877628
2012-01-01 10:00:00,0.083827,-2.134980,1.425775,-5.470852,3.721329
2012-01-01 11:00:00,0.147824,-2.340389,0.617855,-6.095209,1.564929
2012-01-01 12:00:00,0.138709,-2.214222,0.098265,-5.785578,0.098404
2012-01-01 13:00:00,0.222066,-2.139407,-0.226266,-5.605007,-0.861563
2012-01-01 14:00:00,0.241049,-2.020323,-0.455396,-5.185562,-1.845935
2012-01-01 15:00:00,0.245842,-1.751609,-1.251391,-3.655520,-4.639601
2012-01-01 16:00:00,0.239075,-0.978669,-2.614675,-1.485272,-7.574822
2012-01-01 17:00:00,0.253454,-0.234062,-3.575916,0.028920,-8.864540
2012-01-01 18:00:00,0.302039,0.247587,-3.911946,1.005927,-9.025077
2012-01-01 19:00:00,0.516023,0.371541,-3.726683,1.245934,-8.706172
2012-01-01 20:00:00,0.735457,0.431304,-3.920464,1.175177,-8.187682
2012-01-01 21:00:00,0.618927,0.522941,-4.344654,1.142912,-7.909996
2012-01-01 22:00:00,0.815431,1.033808,-4.925572,1.676700,-7.585669
2012-01-01 23:00:00,0.760455,1.468088,-5.200273,2.254640,-7.688174
2012-01-02 00:00:00,0.439244,2.792537,-5.818453,4.176299,-8.510670
2012-01-02 01:00:00,0.205808,3.690429,-5.504235,5.440320,-8.013329
2012-01-02 02:00:00,0.190020,3.893924,-5.205664,5.714882,-7.581301
2012-01-02 03:00:00,0.803496,3.761368,-5.021701,5.649091,-7.419089
2012-01-02 04:00:00,0.755004,3.591519,-4.586109,5.799841,-7.160515
2012-01-02 05:00:00,0.376750,2.892258,-3.525886,5.290088,-6.348387
2012-01-02 06:00:00,0.567804,2.571206,-3.199826,5.122761,-6.386932
2012-01-02 07:00:00,0.274222,3.205608,-0.550327,7.329617,-1.311804
2012-01-02 08:00:00,0.154685,2.901176,0.764062,7.027599,1.817859
2012-01-02 09:00:00,0.095292,2.199888,1.119725,5.654271,2.984924
2012-01-02 10:00:00,0.087492,1.788439,1.984988,4.444126,5.089925
2012-01-02 11:00:00,0.023952,0.881223,1.868689,2.355901,4.908441
2012-01-02 12:00:00,0.001953,0.676107,1.928742,1.645148,4.568493
2012-01-02 13:00:00,0.059487,0.207501,1.905059,0.792970,3.937314
2012-01-02 14:00:00,0.023867,-0.987121,1.684303,-0.827982,2.975823
2012-01-02 15:00:00,0.000000,-1.045900,1.512180,-0.978732,2.513280
2012-01-02 16:00:00,0.000000,-1.178455,1.414489,-1.011886,2.550219
2012-01-02 17:00:00,0.000000,-1.724081,1.156517,-1.658402,2.629451
2012-01-02 18:00:00,0.000000,-1.746782,0.686247,-1.841271,2.091423
2012-01-02 19:00:00,0.000000,-1.202777,0.455341,-2.494521,2.091423
2012-01-02 20:00:00,0.030525,-1.878932,0.270954,-3.803094,1.525022
2012-01-02 21:00:00,0.057137,-1.447620,-0.495349,-2.661330,-0.480939
2012-01-02 22:00:00,0.033643,-1.289121,0.019326,-1.841789,-0.059618
2012-01-02 23:00:00,0.010610,-0.819704,0.437156,-1.147095,0.468239
2012-01-03 00:00:00,0.191617,-1.849580,-1.862144,-2.350274,-2.541779
2012-01-03 01:00:00,0.392726,0.463847,-1.697786,0.725882,-2.284870
2012-01-03 02:00:00,0.279485,3.447001,-1.315160,4.586008,-1.765585
2012-01-03 03:00:00,0.129217,5.079848,-1.653080,6.996706,-2.341171
2012-01-03 04:00:00,0.117658,4.975978,-1.635987,7.145317,-2.425897
2012-01-03 05:00:00,0.187388,4.996132,-1.424294,7.389867,-2.147669
2012-01-03 06:00:00,0.209097,4.671733,-1.035533,7.240786,-1.596680
2012-01-03 07:00:00,0.190396,3.621796,-0.652907,6.806239,-1.164854
2012-01-03 08:00:00,0.150832,2.444348,-0.253627,5.994992,-0.465185
2012-01-03 09:00:00,0.132882,1.980035,0.487080,5.001743,1.159904
2012-01-03 10:00:00,0.192181,2.049798,0.485327,3.545731,0.689268
2012-01-03 11:00:00,0.240391,2.334277,0.176334,4.722862,0.515990
2012-01-03 12:00:00,0.341979,2.937341,0.976209,7.037621,2.638500
2012-01-03 13:00:00,0.545343,4.080296,2.084201,7.473578,3.905009
2012-01-03 14:00:00,0.759891,4.648866,2.374786,7.611843,3.977709
