TIMESTAMP,TARGETVAR,U10,V10,U100,V100
2012-01-01 00:00:00,0.596273,-0.171642,-5.466031,-0.112594,-7.101347
2012-01-01 01:00:00,0.411180,-0.088859,-4.643205,-0.014100,-5.896778
2012-01-01 02:00:00,0.167243,-0.246014,-3.613395,-0.225238,-4.489369
2012-01-01 03:00:00,0.037326,-0.680738,-2.919615,-0.772046,-3.598824
2012-01-01 04:00:00,0.051206,-1.261106,-2.619786,-1.487537,-3.244667
2012-01-01 05:00:00,0.042144,-1.950820,-2.534607,-2.344541,-3.195312
2012-01-01 06:00:00,0.210377,-3.062862,-2.410672,-3.798165,-3.149755
2012-01-01 07:00:00,0.455915,-4.959796,-1.834865,-6.602958,-2.565639
2012-01-01 08:00:00,0.531133,-5.789843,-0.673028,-8.742639,-1.106164
2012-01-01 09:00:00,0.403347,-4.353308,-0.569536,-8.276211,-1.217347
2012-01-01 10:00:00,0.494152,-3.247464,-1.139807,-7.302600,-2.588961
2012-01-01 11:00:00,0.549646,-2.662226,-2.080605,-6.380500,-4.673770
2012-01-01 12:00:00,0.482897,-2.230601,-3.250108,-5.220091,-6.880066
2012-01-01 13:00:00,0.689358,-2.264689,-3.532049,-5.003292,-7.272188
2012-01-01 14:00:00,0.679262,-2.188103,-3.782901,-4.522713,-7.773866
2012-01-01 15:00:00,0.698783,-1.968528,-5.130853,-3.785712,-9.630344
2012-01-01 16:00:00,0.688121,-0.799822,-5.662794,-1.648296,-10.366318
2012-01-01 17:00:00,0.669104,-0.008731,-5.454532,-0.170897,-10.133648
2012-01-01 18:00:00,0.670766,1.680138,-4.842523,2.698426,-9.211646
2012-01-01 19:00:00,0.669820,2.719578,-4.032048,5.255288,-7.527637
2012-01-01 20:00:00,0.678422,2.795721,-3.851043,4.799615,-6.637634
2012-01-01 21:00:00,0.712946,4.369490,-2.882136,6.250409,-4.130331
2012-01-01 22:00:00,0.736135,4.025519,-1.955392,5.385480,-2.614451
2012-01-01 23:00:00,0.749441,3.902893,-0.675157,5.036791,-0.912544
2012-01-02 00:00:00,0.517386,5.299337,-3.441728,6.944195,-4.589759
2012-01-02 01:00:00,0.358197,5.700652,-0.336760,7.344123,-0.455777
2012-01-02 02:00:00,0.214541,4.757359,2.100864,6.047983,2.712966
2012-01-02 03:00:00,0.096357,4.087285,0.790282,5.076655,1.258417
2012-01-02 04:00:00,0.572234,4.341045,2.258185,5.551699,3.060944
2012-01-02 05:00:00,0.534378,4.473601,4.478435,6.070259,6.012335
2012-01-02 06:00:00,0.517333,4.297266,5.605477,6.022081,7.685307
